timestamp_sec,timestamp_nanosec,orient_x,orient_y,orient_z,orient_w,ang_vel_x,ang_vel_y,ang_vel_z,lin_accel_x,lin_accel_y,lin_accel_z,mag_x,mag_y,mag_z,temperature_celsius,wifi_ssid,wifi_signal_strength
1762542616,385063888,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0022222222222222222,0.0,0.0,-0.01,-0.08,-4.5625e-06,-3.375e-06,-5.5875e-05,,TP-Link_C53A,-26
1762542616,484726999,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.01,0.0,-0.1,-4.5625e-06,-3.75e-06,-5.55625e-05,,TP-Link_C53A,-26
1762542616,584859147,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,0.01,-0.09,-4.5625e-06,-4.0625e-06,-5.55625e-05,,TP-Link_C53A,-25
1762542616,684277592,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.02,0.0,-0.09,-4.1875e-06,-3e-06,-5.6e-05,,TP-Link_C53A,-25
1762542616,784279795,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0011111111111111111,0.0,0.0,0.0,-0.07,-4.5625e-06,-2.5625e-06,-5.6e-05,,TP-Link_C53A,-25
1762542616,884474406,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,0.0,-0.09,-4.5625e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-25
1762542616,983664943,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0022222222222222222,0.0,0.02,0.01,-0.08,-4.1875e-06,-3.375e-06,-5.50625e-05,,TP-Link_C53A,-25
1762542617,83988406,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,0.0,-0.09,-4.5625e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-25
1762542617,183745832,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.01,0.0,-0.09,-4.5625e-06,-3e-06,-5.55625e-05,,TP-Link_C53A,-25
1762542617,283235443,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.01,-0.02,-0.09,-4.1875e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-25
1762542617,382836591,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,-0.01,0.0,-0.11,-4.1875e-06,-3.375e-06,-5.55625e-05,,TP-Link_C53A,-25
1762542617,483760980,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.0,0.0,-0.06,-3.75e-06,-3e-06,-5.6875e-05,,TP-Link_C53A,-25
1762542617,582777758,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0011111111111111111,0.0,0.0,0.02,-0.01,-0.1,-4.1875e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-25
1762542617,682327832,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0011111111111111111,0.0,0.0,0.02,0.0,-0.09,-3.375e-06,-3.75e-06,-5.6375e-05,,TP-Link_C53A,-25
1762542617,782714517,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.0,0.0,-0.11,-4.1875e-06,-3.375e-06,-5.725e-05,,TP-Link_C53A,-25
1762542617,882240443,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,-0.03,0.0,-0.09,-4.5625e-06,-4.0625e-06,-5.50625e-05,,TP-Link_C53A,-25
1762542617,982174258,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0022222222222222222,0.0011111111111111111,0.0,0.06,0.02,-0.1,-4.1875e-06,-3e-06,-5.6375e-05,,TP-Link_C53A,-25
1762542618,82488869,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,-0.01,-0.01,-0.06,-4.1875e-06,-3.375e-06,-5.50625e-05,,TP-Link_C53A,-25
1762542618,182396350,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0022222222222222222,-0.0011111111111111111,0.0,0.06,-0.01,-0.1,-4.1875e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-25
1762542618,288627887,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0011111111111111111,0.0,-0.01,0.0,-0.08,-4.5625e-06,-2.5625e-06,-5.76875e-05,,TP-Link_C53A,-25
1762542618,381805609,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0022222222222222222,0.0,0.02,-0.01,-0.07,-4.5625e-06,-3.75e-06,-5.55625e-05,,TP-Link_C53A,-25
1762542618,481502202,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.0,0.0,-0.1,-4.875e-06,-3e-06,-5.6e-05,,TP-Link_C53A,-25
1762542618,581923720,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0022222222222222222,-0.0011111111111111111,0.0,0.0,0.0,-0.09,-4.5625e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-25
1762542618,682155702,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0011111111111111111,0.0044444444444444444,0.0,0.02,0.0,-0.08,-5.25e-06,-3.75e-06,-5.725e-05,,TP-Link_C53A,-25
1762542618,789402146,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,-0.0011111111111111111,0.0,0.02,-0.07,-4.1875e-06,-3.75e-06,-5.725e-05,,TP-Link_C53A,-25
